Date,Zipcode,New Eviction Filings,COVID19 Declarations,Marshals Evictions Executed,Valid NY Zipcode?
2016-01,10001,52.0,,,yes
2016-01,10002,164.0,,,yes
2016-01,10003,44.0,,,yes
2016-01,10004,1.0,,,yes
2016-01,10005,5.0,,,yes
2016-01,10006,2.0,,,yes
2016-01,10007,3.0,,,yes
2016-01,10009,159.0,,,yes
2016-01,10010,30.0,,,yes
2016-01,10011,62.0,,,yes
2016-01,10012,23.0,,,yes
2016-01,10013,23.0,,,yes
2016-01,10014,37.0,,,yes
2016-01,10016,53.0,,,yes
2016-01,10017,12.0,,,yes
2016-01,10018,18.0,,,yes
2016-01,10019,80.0,,,yes
2016-01,10020,1.0,,,yes
2016-01,10021,27.0,,,yes
2016-01,10022,27.0,,,yes
2016-01,10023,66.0,,,yes
2016-01,10024,55.0,,,yes
2016-01,10025,231.0,,,yes
2016-01,10026,127.0,,,yes
2016-01,10027,253.0,,,yes
2016-01,10028,33.0,,,yes
2016-01,10029,426.0,,,yes
2016-01,10030,246.0,,,yes
2016-01,10031,221.0,,,yes
2016-01,10032,182.0,,,yes
2016-01,10033,180.0,,,yes
2016-01,10034,199.0,,,yes
2016-01,10035,200.0,,,yes
2016-01,10036,84.0,,,yes
2016-01,10037,182.0,,,yes
2016-01,10038,44.0,,,yes
2016-01,10039,221.0,,,yes
2016-01,10040,160.0,,,yes
2016-01,10044,27.0,,,yes
2016-01,10065,28.0,,,yes
2016-01,10075,19.0,,,yes
2016-01,10128,71.0,,,yes
2016-01,10162,2.0,,,yes
2016-01,10280,7.0,,,yes
2016-01,10282,5.0,,,yes
2016-01,10301,59.0,,,yes
2016-01,10302,21.0,,,yes
2016-01,10303,63.0,,,yes
2016-01,10304,88.0,,,yes
2016-01,10305,17.0,,,yes
2016-01,10306,38.0,,,yes
2016-01,10307,1.0,,,yes
2016-01,10308,4.0,,,yes
2016-01,10309,9.0,,,yes
2016-01,10310,75.0,,,yes
2016-01,10312,10.0,,,yes
2016-01,10314,37.0,,,yes
2016-01,10451,410.0,,,yes
2016-01,10452,562.0,,,yes
2016-01,10453,563.0,,,yes
2016-01,10454,260.0,,,yes
2016-01,10455,276.0,,,yes
2016-01,10456,762.0,,,yes
2016-01,10457,637.0,,,yes
2016-01,10458,469.0,,,yes
2016-01,10459,314.0,,,yes
2016-01,10460,367.0,,,yes
2016-01,10461,79.0,,,yes
2016-01,10462,304.0,,,yes
2016-01,10463,294.0,,,yes
2016-01,10464,1.0,,,yes
2016-01,10465,69.0,,,yes
2016-01,10466,275.0,,,yes
2016-01,10467,481.0,,,yes
2016-01,10468,463.0,,,yes
2016-01,10469,143.0,,,yes
2016-01,10470,46.0,,,yes
2016-01,10471,26.0,,,yes
2016-01,10472,285.0,,,yes
2016-01,10473,244.0,,,yes
2016-01,10474,61.0,,,yes
2016-01,10475,91.0,,,yes
2016-01,11004,6.0,,,yes
2016-01,11011,1.0,,,no
2016-01,11065,1.0,,,no
2016-01,11101,121.0,,,yes
2016-01,11102,23.0,,,yes
2016-01,11103,21.0,,,yes
2016-01,11104,40.0,,,yes
2016-01,11105,32.0,,,yes
2016-01,11106,89.0,,,yes
2016-01,11109,17.0,,,yes
2016-01,11111,1.0,,,no
2016-01,11201,53.0,,,yes
2016-01,11203,230.0,,,yes
2016-01,11204,54.0,,,yes
2016-01,11205,93.0,,,yes
2016-01,11206,188.0,,,yes
2016-01,11207,356.0,,,yes
2016-01,11208,234.0,,,yes
2016-01,11209,63.0,,,yes
2016-01,11210,150.0,,,yes
2016-01,11211,61.0,,,yes
2016-01,11212,463.0,,,yes
2016-01,11213,284.0,,,yes
2016-01,11214,67.0,,,yes
2016-01,11215,24.0,,,yes
2016-01,11216,134.0,,,yes
2016-01,11217,81.0,,,yes
2016-01,11218,88.0,,,yes
2016-01,11219,32.0,,,yes
2016-01,11220,52.0,,,yes
2016-01,11221,187.0,,,yes
2016-01,11222,25.0,,,yes
2016-01,11223,89.0,,,yes
2016-01,11224,180.0,,,yes
2016-01,11225,246.0,,,yes
2016-01,11226,435.0,,,yes
2016-01,11228,14.0,,,yes
2016-01,11229,106.0,,,yes
2016-01,11230,136.0,,,yes
2016-01,11231,46.0,,,yes
2016-01,11232,21.0,,,yes
2016-01,11233,211.0,,,yes
2016-01,11234,82.0,,,yes
2016-01,11235,98.0,,,yes
2016-01,11236,211.0,,,yes
2016-01,11237,48.0,,,yes
2016-01,11238,116.0,,,yes
2016-01,11239,163.0,,,yes
2016-01,11249,36.0,,,yes
2016-01,11354,69.0,,,yes
2016-01,11355,62.0,,,yes
2016-01,11356,6.0,,,yes
2016-01,11357,5.0,,,yes
2016-01,11358,11.0,,,yes
2016-01,11360,10.0,,,yes
2016-01,11361,13.0,,,yes
2016-01,11363,4.0,,,yes
2016-01,11364,11.0,,,yes
2016-01,11365,84.0,,,yes
2016-01,11366,4.0,,,yes
2016-01,11367,87.0,,,yes
2016-01,11368,146.0,,,yes
2016-01,11369,23.0,,,yes
2016-01,11370,29.0,,,yes
2016-01,11372,120.0,,,yes
2016-01,11373,116.0,,,yes
2016-01,11374,64.0,,,yes
2016-01,11375,79.0,,,yes
2016-01,11377,80.0,,,yes
2016-01,11378,6.0,,,yes
